,Commodity,Year,China,Rest of World
0,Ag,2001.0,0.04572776308851393,0.9542722369114861
1,Ag,2002.0,0.05119195137320922,0.9488080486267908
2,Ag,2003.0,0.06147218845876001,0.93852781154124
3,Ag,2004.0,0.06355226771012529,0.9364477322898748
4,Ag,2005.0,0.06897901997327814,0.9310209800267218
5,Ag,2006.0,0.0751456605519455,0.9248543394480545
6,Ag,2007.0,0.08285286850052911,0.9171471314994709
7,Ag,2008.0,0.09264977753232222,0.9073502224676778
8,Ag,2009.0,0.11349459662559626,0.8865054033744038
9,Ag,2010.0,0.12160609828092304,0.8783939017190769
10,Ag,2011.0,0.13132227688612583,0.8686777231138741
11,Ag,2012.0,0.13768797250220505,0.8623120274977949
12,Ag,2013.0,0.14295683186241478,0.8570431681375852
13,Ag,2014.0,0.1477717575443862,0.8522282424556138
14,Ag,2015.0,0.1488122903916786,0.8511877096083214
15,Ag,2016.0,0.15207912412282917,0.8479208758771708
16,Ag,2017.0,0.15739321184207203,0.842606788157928
17,Ag,2018.0,0.16257885200846356,0.8374211479915364
18,Ag,2019.0,0.1675428391199799,0.8324571608800201
19,Al,2001.0,0.11784697801668452,0.8821530219833155
20,Al,2002.0,0.13117812061501818,0.8688218793849818
21,Al,2003.0,0.1537511343389864,0.8462488656610136
22,Al,2004.0,0.16179124095150124,0.8382087590484988
23,Al,2005.0,0.17553857747616344,0.8244614225238366
24,Al,2006.0,0.194777295043471,0.805222704956529
25,Al,2007.0,0.21745021295596517,0.7825497870440348
26,Al,2008.0,0.23789288575323386,0.7621071142467661
27,Al,2009.0,0.281186945543056,0.718813054456944
28,Al,2010.0,0.3037446831802638,0.6962553168197362
29,Al,2011.0,0.31649667439660684,0.6835033256033931
30,Al,2012.0,0.3238968573933103,0.6761031426066897
31,Al,2013.0,0.3393127003223639,0.6606872996776361
32,Al,2014.0,0.3466531408222534,0.6533468591777466
33,Al,2015.0,0.3538504022909251,0.6461495977090749
34,Al,2016.0,0.36503324636187034,0.6349667536381296
35,Al,2017.0,0.37516193484856897,0.624838065151431
36,Al,2018.0,0.3877691957549889,0.6122308042450111
37,Al,2019.0,0.39687689280133587,0.6031231071986641
38,Au,2001.0,0.10783390440781673,0.8921660955921833
39,Au,2002.0,0.12613532254830187,0.8738646774516982
40,Au,2003.0,0.16097251681224833,0.8390274831877517
41,Au,2004.0,0.16989531064678323,0.8301046893532168
42,Au,2005.0,0.18607241791592813,0.8139275820840719
43,Au,2006.0,0.20815381806221422,0.7918461819377858
44,Au,2007.0,0.23194472855153508,0.768055271448465
45,Au,2008.0,0.25384483588407275,0.7461551641159272
46,Au,2009.0,0.29977359342282406,0.7002264065771759
47,Au,2010.0,0.30984447845816976,0.6901555215418302
48,Au,2011.0,0.33025701936822355,0.6697429806317765
49,Au,2012.0,0.3434394883111212,0.6565605116888789
50,Au,2013.0,0.35676614173729604,0.643233858262704
51,Au,2014.0,0.36702882037460405,0.632971179625396
52,Au,2015.0,0.3731464662795167,0.6268535337204832
53,Au,2016.0,0.38286530615870773,0.6171346938412923
54,Au,2017.0,0.39129087382061917,0.6087091261793809
55,Au,2018.0,0.40184118122936097,0.598158818770639
56,Au,2019.0,0.41103885651800653,0.5889611434819935
57,Cu,2001.0,0.13756217644541807,0.862437823554582
58,Cu,2002.0,0.1498975871861455,0.8501024128138546
59,Cu,2003.0,0.17060844834104633,0.8293915516589536
60,Cu,2004.0,0.18009979275607332,0.8199002072439266
61,Cu,2005.0,0.19560516583597215,0.8043948341640279
62,Cu,2006.0,0.2165252457685198,0.7834747542314802
63,Cu,2007.0,0.24001922394945824,0.7599807760505417
64,Cu,2008.0,0.26195032213637987,0.7380496778636201
65,Cu,2009.0,0.3013951310510351,0.6986048689489649
66,Cu,2010.0,0.3236580579905441,0.6763419420094559
67,Cu,2011.0,0.3402959248135632,0.6597040751864368
68,Cu,2012.0,0.35116006501496577,0.6488399349850342
69,Cu,2013.0,0.36400879998895974,0.6359912000110403
70,Cu,2014.0,0.3728857321835344,0.6271142678164656
71,Cu,2015.0,0.38044129033365803,0.619558709666342
72,Cu,2016.0,0.39006499322441923,0.6099350067755808
73,Cu,2017.0,0.4008583262747067,0.5991416737252933
74,Cu,2018.0,0.41286471876880887,0.5871352812311912
75,Cu,2019.0,0.4222967377634125,0.5777032622365875
76,Ni,2001.0,0.1384897967823565,0.8615102032176435
77,Ni,2002.0,0.15593715725334353,0.8440628427466564
78,Ni,2003.0,0.1880618876697844,0.8119381123302156
79,Ni,2004.0,0.19682128655439057,0.8031787134456094
80,Ni,2005.0,0.21256851187115727,0.7874314881288427
81,Ni,2006.0,0.23354223177698197,0.766457768223018
82,Ni,2007.0,0.2578018859297437,0.7421981140702563
83,Ni,2008.0,0.2801330800683777,0.7198669199316223
84,Ni,2009.0,0.32512197164185547,0.6748780283581446
85,Ni,2010.0,0.34514165271447417,0.6548583472855258
86,Ni,2011.0,0.361736853604739,0.638263146395261
87,Ni,2012.0,0.3723746590889298,0.6276253409110701
88,Ni,2013.0,0.38794678970316304,0.612053210296837
89,Ni,2014.0,0.39756390895227783,0.6024360910477222
90,Ni,2015.0,0.40523510513648897,0.594764894863511
91,Ni,2016.0,0.4162943790627782,0.5837056209372218
92,Ni,2017.0,0.4263818943549412,0.5736181056450588
93,Ni,2018.0,0.43831217829350827,0.5616878217064918
94,Ni,2019.0,0.44715058099896426,0.5528494190010358
95,Pb,2001.0,0.10914418986052611,0.8908558101394739
96,Pb,2002.0,0.12831617805596762,0.8716838219440324
97,Pb,2003.0,0.1609755390104188,0.8390244609895812
98,Pb,2004.0,0.16927399107285293,0.8307260089271471
99,Pb,2005.0,0.18410312069515583,0.8158968793048442
100,Pb,2006.0,0.20747687836854248,0.7925231216314575
101,Pb,2007.0,0.23578004280812273,0.7642199571918773
102,Pb,2008.0,0.25970472428030306,0.740295275719697
103,Pb,2009.0,0.3220533934924415,0.6779466065075586
104,Pb,2010.0,0.34649195961295176,0.6535080403870482
105,Pb,2011.0,0.3530874425308227,0.6469125574691773
